cluster_rep,size
seed4_row101756,1
seed4_row101759,1
seed4_row101763,1
seed4_row101771,1
seed4_row101774,1
seed4_row101776,1
seed4_row101778,1
seed4_row101780,1
seed4_row101783,1
seed4_row101787,1
seed4_row101789,1
seed4_row101794,1
seed4_row101795,1
seed4_row101798,1
seed4_row101799,1
seed4_row101800,1
seed4_row101801,1
seed4_row101802,1
seed4_row101805,1
seed4_row101806,1
seed4_row101809,1
seed4_row101810,1
seed4_row101813,1
seed4_row101815,1
seed4_row101820,1
seed4_row101821,1
seed4_row101824,1
seed4_row101825,1
seed4_row101826,1
seed4_row101832,1
seed4_row101834,1
seed4_row101836,1
seed4_row101838,1
seed4_row101844,1
seed4_row101846,1
seed4_row101850,3
seed4_row101851,1
seed4_row101857,1
seed4_row101859,1
seed4_row101860,1
seed4_row101862,1
seed4_row101865,1
seed4_row101870,1
seed4_row101875,1
seed4_row101876,1
seed4_row101877,1
seed4_row101878,1
seed4_row101882,1
seed4_row101884,1
seed4_row101885,1
seed4_row101887,1
seed4_row101890,1
seed4_row101895,1
seed4_row101897,1
seed4_row101899,1
seed4_row101900,1
seed4_row101903,1
seed4_row101905,1
seed4_row101907,1
seed4_row101908,1
seed4_row101911,1
seed4_row101914,1
seed4_row101920,1
seed4_row101921,4
seed4_row101922,1
seed4_row101925,1
seed4_row101928,1
seed4_row101929,1
seed4_row101930,1
seed4_row101931,1
seed4_row101935,1
seed4_row101936,1
seed4_row101939,1
seed4_row101940,1
seed4_row101942,1
seed4_row101943,1
seed4_row101946,1
seed4_row101948,1
seed4_row101953,1
seed4_row101957,1
seed4_row101960,1
seed4_row101961,1
seed4_row101963,2
seed4_row101964,1
seed4_row101965,1
seed4_row101966,1
seed4_row101969,1
seed4_row101970,1
seed4_row101976,1
seed4_row101978,1
seed4_row101984,1
seed4_row101985,1
seed4_row101986,1
seed4_row101987,1
seed4_row101991,1
seed4_row101992,1
seed4_row101994,1
seed4_row101995,1
seed4_row101997,1
seed4_row102001,1
seed4_row102002,1
seed4_row102003,1
seed4_row102009,1
seed4_row102012,1
seed4_row102019,1
seed4_row102020,1
seed4_row102021,1
seed4_row102022,4
seed4_row102024,1
seed4_row102025,1
seed4_row102027,1
seed4_row102028,1
seed4_row102030,1
seed4_row102031,1
seed4_row102032,1
seed4_row102033,1
seed4_row102034,1
seed4_row102035,1
seed4_row102037,1
seed4_row102038,1
seed4_row102041,1
seed4_row102046,1
seed4_row102047,2
seed4_row102048,1
seed4_row102049,1
seed4_row102050,1
seed4_row102051,1
seed4_row102052,1
seed4_row102056,1
seed4_row102060,1
seed4_row102061,1
seed4_row102066,1
seed4_row102067,1
seed4_row102071,1
seed4_row102072,1
seed4_row102073,1
seed4_row102076,1
seed4_row102077,1
seed4_row102078,3
seed4_row102085,1
seed4_row102086,1
seed4_row102089,1
seed4_row102090,1
seed4_row102091,1
seed4_row102092,9
seed4_row102093,1
seed4_row102095,3
seed4_row102097,1
seed4_row102098,1
seed4_row102100,1
seed4_row102103,1
seed4_row102104,1
seed4_row102105,1
seed4_row102107,1
seed4_row102111,1
seed4_row102115,1
seed4_row102117,1
seed4_row102122,1
seed4_row102123,1
seed4_row102127,1
seed4_row102128,1
seed4_row102134,1
seed4_row102135,1
seed4_row102136,1
seed4_row102138,2
seed4_row102139,1
seed4_row102140,1
seed4_row102141,1
seed4_row102142,1
seed4_row102143,1
seed4_row102144,1
seed4_row102145,2
seed4_row102147,1
seed4_row102149,1
seed4_row102155,2
seed4_row102157,1
seed4_row102159,1
seed4_row102166,4
seed4_row102168,2
seed4_row102170,1
seed4_row102172,1
seed4_row102173,1
seed4_row102174,1
seed4_row102178,1
seed4_row102181,1
seed4_row102182,1
seed4_row102186,1
seed4_row102189,2
seed4_row102190,1
seed4_row102191,1
seed4_row102192,1
seed4_row102194,1
seed4_row102195,1
seed4_row102199,1
seed4_row102201,1
seed4_row102204,1
seed4_row102205,1
seed4_row102206,1
seed4_row102212,1
seed4_row102213,1
seed4_row102217,2
seed4_row102222,25
seed4_row102225,1
seed4_row102226,1
seed4_row102227,1
seed4_row102228,1
seed4_row102232,1
seed4_row102235,1
seed4_row102240,1
seed4_row102241,1
seed4_row102244,1
seed4_row102246,1
seed4_row102247,1
seed4_row102249,1
seed4_row102253,1
seed4_row102256,1
seed4_row102257,1
seed4_row102260,1
seed4_row102263,1
seed4_row102265,1
seed4_row102273,1
seed4_row102274,1
seed4_row102275,1
seed4_row102277,1
seed4_row102281,1
seed4_row102285,1
seed4_row102286,1
seed4_row102287,1
seed4_row102291,1
seed4_row102301,1
seed4_row102302,1
seed4_row102305,1
seed4_row102310,1
seed4_row102311,1
seed4_row102317,1
seed4_row102318,1
seed4_row102322,1
seed4_row102326,1
seed4_row102327,1
seed4_row102329,1
seed4_row102334,1
seed4_row102335,1
seed4_row102336,1
seed4_row102337,1
seed4_row102339,1
seed4_row102342,1
seed4_row102346,1
seed4_row102347,1
seed4_row102349,1
seed4_row102350,1
seed4_row102351,1
seed4_row102353,1
seed4_row102354,1
seed4_row102356,1
seed4_row102359,1
seed4_row102360,1
seed4_row102362,1
seed4_row102363,1
seed4_row102364,1
seed4_row102367,1
seed4_row102371,1
seed4_row102372,1
seed4_row102373,1
seed4_row102382,1
seed4_row102385,1
seed4_row102386,1
seed4_row102387,1
seed4_row102391,1
seed4_row102394,1
seed4_row102397,1
seed4_row102398,1
seed4_row102399,1
seed4_row102401,1
seed4_row102403,1
seed4_row102404,1
seed4_row102411,1
seed4_row102415,1
seed4_row102417,1
seed4_row102420,1
seed4_row102421,1
seed4_row102423,1
seed4_row102428,1
seed4_row102429,1
seed4_row102435,1
seed4_row102436,1
seed4_row102440,1
seed4_row102441,1
seed4_row102442,1
seed4_row102449,1
seed4_row102450,1
seed4_row102451,1
seed4_row102453,1
seed4_row102455,1
seed4_row102456,1
seed4_row102457,1
seed4_row102459,1
seed4_row102464,1
seed4_row102466,1
seed4_row102470,1
seed4_row102471,2
seed4_row102473,1
seed4_row102476,1
seed4_row102477,1
seed4_row102479,1
seed4_row102480,1
seed4_row102482,1
seed4_row102483,1
seed4_row102484,1
seed4_row102487,1
seed4_row102488,1
seed4_row102490,1
seed4_row102492,1
seed4_row102496,1
seed4_row102497,1
seed4_row102502,4
seed4_row102505,1
seed4_row102507,1
seed4_row102511,1
seed4_row102515,1
seed4_row102516,1
seed4_row102517,1
seed4_row102520,1
seed4_row102521,1
seed4_row102522,1
seed4_row102523,1
seed4_row102525,1
seed4_row102527,1
seed4_row102528,1
seed4_row102532,1
seed4_row102533,1
seed4_row102534,2
seed4_row102538,1
seed4_row102542,1
seed4_row102543,1
seed4_row102544,1
seed4_row102545,1
seed4_row102546,1
seed4_row102547,1
seed4_row102550,1
seed4_row102551,1
seed4_row102552,1
seed4_row102554,1
seed4_row102558,5
seed4_row102559,1
seed4_row102562,1
seed4_row102570,1
seed4_row102571,1
seed4_row102572,1
seed4_row102573,1
seed4_row102574,1
seed4_row102575,1
seed4_row102578,1
seed4_row102581,1
seed4_row102584,1
seed4_row102586,1
seed4_row102587,1
seed4_row102588,7
seed4_row102590,1
seed4_row102594,1
seed4_row102597,1
seed4_row102598,1
seed4_row102599,1
seed4_row102600,1
seed4_row102602,1
seed4_row102605,1
seed4_row102607,1
seed4_row102610,1
seed4_row102611,1
seed4_row102614,1
seed4_row102616,1
seed4_row102621,1
seed4_row102622,1
seed4_row102623,1
seed4_row102626,1
seed4_row102628,1
seed4_row102633,1
seed4_row102634,1
seed4_row102638,1
seed4_row102639,1
seed4_row102640,1
seed4_row102641,1
seed4_row102643,3
seed4_row102644,1
seed4_row102645,1
seed4_row102647,1
seed4_row102648,1
seed4_row102649,1
seed4_row102650,1
seed4_row102652,1
seed4_row102654,1
seed4_row102655,3
seed4_row102656,1
seed4_row102657,1
seed4_row102658,1
seed4_row102659,1
seed4_row102660,1
seed4_row102661,1
seed4_row102667,1
seed4_row102670,1
seed4_row102676,1
seed4_row102677,1
seed4_row102678,2
seed4_row102679,1
seed4_row102681,1
seed4_row102682,1
seed4_row102683,1
seed4_row102685,1
seed4_row102690,5
seed4_row102693,1
seed4_row102695,1
seed4_row102702,1
seed4_row102707,1
seed4_row102709,1
seed4_row102713,1
seed4_row102719,1
seed4_row102721,1
seed4_row102723,1
seed4_row102725,1
seed4_row102726,1
seed4_row102729,1
seed4_row102733,1
seed4_row102737,1
seed4_row102739,1
seed4_row102740,1
seed4_row102741,1
seed4_row102746,1
seed4_row102749,1
seed4_row102750,2
seed4_row102753,1
seed4_row102754,1
seed4_row102755,1
seed4_row102757,1
seed4_row102761,1
seed4_row102762,1
seed4_row102766,1
seed4_row102768,1
seed4_row102770,1
seed4_row102771,1
seed4_row102774,1
seed4_row102775,1
seed4_row102776,1
seed4_row102778,1
seed4_row102782,1
seed4_row102783,1
seed4_row102785,1
seed4_row102786,1
seed4_row102787,1
seed4_row102788,1
seed4_row102792,1
seed4_row102801,1
seed4_row102807,1
seed4_row102808,1
seed4_row102809,1
seed4_row102810,1
seed4_row102811,1
seed4_row102818,1
seed4_row102824,1
seed4_row102826,1
seed4_row102828,1
seed4_row102830,1
seed4_row102834,1
seed4_row102836,1
seed4_row102837,1
seed4_row102849,1
seed4_row102850,1
seed4_row102852,1
seed4_row102853,1
seed4_row102855,1
seed4_row102856,1
seed4_row102857,1
seed4_row102858,1
seed4_row102859,1
